,_step,charts/episodic_return,global_step,charts/decisions
0,551,0.0,29142.0,551
1,613,34.84110641479492,32511.0,613
2,708,0.0,37621.0,708
3,1568,12.114069938659668,83258.0,1568
4,1731,0.0,92095.0,1731
5,3247,64.86917877197266,173197.0,3247
6,3291,0.0,175557.0,3291
7,3324,4.257288932800293,177194.0,3324
8,3360,0.0,179028.0,3360
9,3741,0.0,199168.0,3741
10,3837,0.0,204116.0,3837
11,3867,0.0,205708.0,3867
12,4021,0.0,213942.0,4021
13,4441,0.0,236309.0,4441
14,4557,0.0,242426.0,4557
15,4708,0.0,250737.0,4708
16,4932,34.84110641479492,262868.0,4932
17,5077,42.0167350769043,270667.0,5077
18,5194,0.0,276747.0,5194
19,5352,4.048639297485352,285331.0,5352
20,6386,0.0,340789.0,6386
21,7512,12.114069938659668,401037.0,7512
22,8516,74.97140502929688,455193.0,8516
23,8727,0.0,466338.0,8727
24,9156,0.0,488955.0,9156
25,9189,0.0,490764.0,9189
26,9675,53.56821060180664,516411.0,9675
27,10388,0.0,554871.0,10388
28,10729,0.0,573091.0,10729
29,11209,14.88697624206543,598655.0,11209
30,11390,132.51925659179688,608540.0,11390
31,11834,12.114069938659668,632232.0,11834
32,11961,20.0,639179.0,11961
33,12237,0.0,653848.0,12237
34,12882,0.0,687874.0,12882
35,13783,21.74941062927246,736124.0,13783
36,13897,91.05292510986328,742227.0,13897
37,14286,0.0,762807.0,14286
38,14672,39.7596435546875,783442.0,14672
39,14687,74.97140502929688,784214.0,14687
40,14841,73.851318359375,792235.0,14841
41,15167,50.093875885009766,809293.0,15167
42,15196,36.41433334350586,810803.0,15196
43,16440,91.05292510986328,877977.0,16440
44,16696,7.148998737335205,892018.0,16696
45,16800,9.370566368103027,897424.0,16800
46,16930,0.0,904586.0,16930
47,17033,0.0,910312.0,17033
48,17094,69.32649993896484,913553.0,17094
49,17118,73.851318359375,914751.0,17118
50,17186,0.0,918277.0,17186
51,17252,85.1527328491211,921736.0,17252
52,17523,0.0,936024.0,17523
53,17548,0.0,937235.0,17548
54,17923,0.0,957308.0,17923
55,17997,18.705760955810547,961412.0,17997
56,18444,0.0,985069.0,18444
57,18527,0.0,989526.0,18527
58,18599,0.0,993266.0,18599
59,20479,28.020145416259766,1093958.0,20479
60,20611,78.38330078125,1101125.0,20611
61,20722,41.39059829711914,1107070.0,20722
62,21297,34.84110641479492,1138159.0,21297
63,21489,0.0,1148363.0,21489
64,21791,0.0,1164713.0,21791
65,22124,34.84110641479492,1182522.0,22124
66,22301,14.88697624206543,1192168.0,22301
67,23193,22.109561920166016,1239133.0,23193
68,23392,0.0,1249883.0,23392
69,23611,0.0,1261760.0,23611
70,23755,0.0,1269395.0,23755
71,24207,0.0,1293728.0,24207
72,24541,78.38330078125,1311565.0,24541
73,24915,3.4472453594207764,1331519.0,24915
74,25049,0.0,1338694.0,25049
75,25878,0.0,1383321.0,25878
76,26263,0.0,1404522.0,26263
77,27111,12.114069938659668,1449659.0,27111
78,27433,0.0,1466761.0,27433
79,27793,0.0,1486302.0,27793
80,28197,0.0,1508044.0,28197
81,28754,0.0,1538579.0,28754
82,29192,0.0,1562515.0,29192
83,29259,0.0,1566049.0,29259
84,29468,4.754950046539307,1577502.0,29468
85,29540,0.0,1581453.0,29540
86,29699,51.26353454589844,1590131.0,29699
87,29792,23.177982330322266,1595126.0,29792
88,30019,75.96591186523438,1607308.0,30019
89,30567,4.949999809265137,1636418.0,30567
90,31070,13.99778938293457,1663231.0,31070
91,31324,74.6623306274414,1676772.0,31324
92,31748,73.851318359375,1699548.0,31748
93,32047,0.0,1715434.0,32047
94,32543,88.91412353515625,1742202.0,32543
95,33003,0.0,1766666.0,33003
96,33156,0.0,1774818.0,33156
97,33335,78.38330078125,1784496.0,33335
98,33957,23.177982330322266,1817883.0,33957
99,34353,26.683748245239258,1838641.0,34353
100,34438,0.0,1843297.0,34438
101,34926,0.0,1869502.0,34926
102,35810,0.0,1916424.0,35810
103,36219,78.38330078125,1938325.0,36219
104,36257,12.397570610046387,1940345.0,36257
105,37834,33.95838928222656,2025295.0,37834
106,38006,14.408940315246582,2034428.0,38006
107,38546,0.0,2063075.0,38546
108,39667,12.193431854248047,2123656.0,39667
109,39692,64.84718322753906,2125010.0,39692
110,40626,57.46767044067383,2175017.0,40626
111,40889,0.0,2189575.0,40889
112,40968,8.514577865600586,2193752.0,40968
113,41000,0.0,2195322.0,41000
114,41609,41.12158966064453,2227703.0,41609
115,42057,0.0,2252053.0,42057
116,42862,0.0,2295107.0,42862
117,43175,18.546051025390625,2311796.0,43175
118,43243,73.851318359375,2315418.0,43243
119,43354,189.2144775390625,2321535.0,43354
120,43365,17.642826080322266,2322150.0,43365
121,43387,0.0,2323414.0,43387
122,43410,0.0,2324668.0,43410
123,44199,0.0,2366961.0,44199
124,44334,73.851318359375,2374225.0,44334
125,44461,0.0,2381039.0,44461
126,44880,0.0,2403175.0,44880
127,45440,0.0,2433235.0,45440
128,45566,0.0,2439918.0,45566
129,46366,18.922611236572266,2482693.0,46366
130,46370,31.152145385742188,2482895.0,46370
131,46497,4.343729019165039,2489687.0,46497
132,46762,71.77098083496094,2503767.0,46762
133,46805,23.718358993530273,2505981.0,46805
134,47111,78.38330078125,2522497.0,47111
135,47127,74.97140502929688,2523406.0,47127
136,47172,12.114069938659668,2525769.0,47172
137,47830,0.0,2560668.0,47830
138,48185,74.97140502929688,2579546.0,48185
139,48189,0.0,2579774.0,48189
140,48453,15.558768272399902,2593905.0,48453
141,48728,22.558475494384766,2608747.0,48728
142,48806,0.0,2612989.0,48806
143,49541,9.356685638427734,2652792.0,49541
144,51222,46.03372573852539,2742652.0,51222
145,51789,0.0,2773326.0,51789
146,51799,0.0,2773939.0,51799
147,51845,0.0,2776429.0,51845
148,52487,0.0,2810485.0,52487
149,52638,0.0,2818619.0,52638
150,53136,111.89786529541016,2845564.0,53136
151,53596,37.27580261230469,2869871.0,53596
152,53916,81.5943374633789,2886735.0,53916
153,54552,0.0,2920494.0,54552
154,54905,12.114069938659668,2939088.0,54905
155,55820,74.97140502929688,2988304.0,55820
156,55890,12.718533515930176,2992153.0,55890
157,56002,0.0,2998183.0,56002
158,56516,78.38330078125,3025655.0,56516
159,57418,0.0,3074235.0,57418
160,57717,0.0,3090370.0,57717
161,57953,59.50318908691406,3103222.0,57953
162,58183,12.114069938659668,3115734.0,58183
163,58554,0.0,3135535.0,58554
164,58934,4.802979946136475,3155670.0,58934
165,59247,0.0,3172302.0,59247
166,59571,0.0,3189823.0,59571
167,59596,53.10906219482422,3191076.0,59596
168,59796,91.05292510986328,3201883.0,59796
169,60703,36.41433334350586,3249781.0,60703
170,60730,0.0,3251298.0,60730
171,61666,0.0,3300746.0,61666
172,61688,35.14516830444336,3301950.0,61688
173,61963,37.865169525146484,3316621.0,61963
174,63039,81.72514343261719,3374040.0,63039
175,63042,36.41433334350586,3374200.0,63042
176,63475,73.851318359375,3397108.0,63475
177,63849,91.05292510986328,3417371.0,63849
178,64314,0.0,3442515.0,64314
179,64570,73.851318359375,3456233.0,64570
180,64884,39.7596435546875,3473423.0,64884
181,65196,0.0,3490357.0,65196
182,65212,105.0865249633789,3491156.0,65212
183,67560,23.177982330322266,3617495.0,67560
184,67744,0.0,3627687.0,67744
185,67805,0.0,3630939.0,67805
186,68545,0.0,3671432.0,68545
187,68737,251.62391662597656,3681891.0,68737
188,68798,176.8631591796875,3685187.0,68798
189,68834,19.874866485595703,3687103.0,68834
190,68981,16.5308837890625,3694920.0,68981
191,69219,73.851318359375,3707741.0,69219
192,69547,37.27580261230469,3725118.0,69547
193,69685,13.846800804138184,3732666.0,69685
194,69958,29.04356575012207,3747186.0,69958
195,70213,0.0,3760808.0,70213
196,70222,37.41288757324219,3761262.0,70222
197,70283,19.840356826782227,3764690.0,70283
198,70308,0.0,3765971.0,70308
199,71099,34.84110641479492,3808696.0,71099
