,_step,charts/episodic_return,global_step,charts/decisions
0,553,0.0,9530.0,553
1,565,38.54500198364258,9795.0,565
2,1098,0.0,19107.0,1098
3,1286,28.091550827026367,22553.0,1286
4,1728,21.07314109802246,31197.0,1728
5,3727,102.31147766113281,67158.0,3727
6,4653,73.60311126708984,85304.0,4653
7,4779,12.345803260803223,88086.0,4779
8,6268,28.3576717376709,115153.0,6268
9,7544,0.0,138262.0,7544
10,9691,0.0,177304.0,9691
11,11404,0.0,210816.0,11404
12,12272,55.16965866088867,227276.0,12272
13,14053,31.289825439453125,261969.0,14053
14,15074,0.0,279928.0,15074
15,15316,18.0876407623291,283818.0,15316
16,15448,0.0,286391.0,15448
17,15606,0.0,289237.0,15606
18,15793,21.888031005859375,292480.0,15793
19,16260,257.2286682128906,301007.0,16260
20,16508,13.260910034179688,305720.0,16508
21,17401,14.090595245361328,321827.0,17401
22,17754,217.16433715820312,327965.0,17754
23,17806,0.0,328845.0,17806
24,20513,57.89656448364258,379087.0,20513
25,20993,4.431924343109131,388129.0,20993
26,22246,12.60411262512207,409522.0,22246
27,22373,27.682340621948242,411965.0,22373
28,25004,137.7625732421875,459770.0,25004
29,26940,76.13528442382812,494122.0,26940
30,26987,0.0,494922.0,26987
31,27205,28.075769424438477,498910.0,27205
32,28333,0.0,520218.0,28333
33,28460,0.0,522418.0,28460
34,29667,27.062610626220703,545481.0,29667
35,30450,108.3377456665039,559446.0,30450
36,30684,0.0,563989.0,30684
37,32114,223.62525939941406,588934.0,32114
38,35036,76.13528442382812,641776.0,35036
39,36256,56.329612731933594,664775.0,36256
40,36786,28.93671226501465,674214.0,36786
41,37556,0.0,688390.0,37556
42,39179,0.0,716960.0,39179
43,39429,0.0,721677.0,39429
44,41153,8.429431915283203,752471.0,41153
45,42620,0.0,779019.0,42620
46,45269,47.12070846557617,826154.0,45269
47,45386,41.93305969238281,828043.0,45386
48,45392,39.83245849609375,828223.0,45392
49,45659,45.91986846923828,833114.0,45659
50,46405,26.870927810668945,846226.0,46405
51,46706,60.293785095214844,851882.0,46706
52,48745,33.42177963256836,888852.0,48745
53,49923,58.464454650878906,909531.0,49923
54,51358,0.0,938730.0,51358
55,51671,5.0,944666.0,51671
56,52146,23.919321060180664,954290.0,52146
57,52320,18.90378189086914,957864.0,52320
58,53655,351.9065246582031,984627.0,53655
59,54605,88.5639419555664,1002791.0,54605
60,57007,14.800999641418457,1053083.0,57007
61,57335,0.0,1059325.0,57335
62,57633,0.0,1064799.0,57633
63,58938,31.331823348999023,1093183.0,58938
64,60437,0.0,1124761.0,60437
65,63123,11.595831871032715,1178422.0,63123
66,63561,4.476691246032715,1187351.0,63561
67,65208,50.354576110839844,1219071.0,65208
68,67222,0.0,1259191.0,67222
69,68332,0.0,1282571.0,68332
70,70195,4.9004998207092285,1319878.0,70195
71,71142,29.235031127929688,1338526.0,71142
72,71212,44.38987350463867,1340029.0,71212
73,73291,0.0,1379615.0,73291
74,73377,120.7649917602539,1380882.0,73377
75,73953,370.2147521972656,1391944.0,73953
76,74596,16.358139038085938,1404483.0,74596
77,74870,46.400428771972656,1410339.0,74870
78,74993,24.502500534057617,1412574.0,74993
79,76873,4.949999809265137,1449589.0,76873
80,78693,34.84110641479492,1485624.0,78693
81,78858,69.460205078125,1489346.0,78858
82,79731,45.084815979003906,1507602.0,79731
83,80632,113.99369049072266,1523543.0,80632
84,81172,0.0,1534274.0,81172
85,83259,4.300291538238525,1575698.0,83259
86,85581,86.63494110107422,1621096.0,85581
87,85983,18.0876407623291,1629167.0,85983
88,86022,188.00869750976562,1629916.0,86022
89,87794,35.36957931518555,1665339.0,87794
90,87913,13.905315399169922,1667607.0,87913
91,88050,200.87149047851562,1670433.0,88050
92,88490,31.56731414794922,1678617.0,88490
93,88658,216.1170654296875,1681777.0,88658
94,89535,431.4524230957031,1699901.0,89535
95,91120,24.502500534057617,1731766.0,91120
96,91873,32.16526794433594,1746316.0,91873
97,92183,14.04382038116455,1752155.0,92183
98,92960,107.59005737304688,1767687.0,92960
99,94785,94.94164276123047,1805439.0,94785
100,95794,14.523540496826172,1824300.0,95794
101,98993,41.16631317138672,1886476.0,98993
102,100452,83.30453491210938,1916102.0,100452
103,101094,0.0,1928219.0,101094
104,101223,14.243728637695312,1930600.0,101223
105,101613,35.73735046386719,1938114.0,101613
106,102403,16.523372650146484,1954634.0,102403
107,103714,97.93490600585938,1981027.0,103714
108,105933,170.89556884765625,2025477.0,105933
109,106246,14.376690864562988,2031804.0,106246
110,107093,0.0,2048402.0,107093
111,107991,98.5902328491211,2066365.0,107991
112,108155,21.52724266052246,2069392.0,108155
113,108335,36.47781753540039,2072830.0,108335
114,110075,32.274879455566406,2107286.0,110075
115,112422,0.0,2152742.0,112422
116,112548,43.75389862060547,2155277.0,112548
117,113772,0.0,2179948.0,113772
118,114892,0.0,2201494.0,114892
119,115507,32.98163986206055,2213216.0,115507
120,118452,91.56864166259766,2270779.0,118452
121,119057,0.0,2282705.0,119057
122,120489,100.37947082519531,2310255.0,120489
123,121692,151.1388702392578,2333632.0,121692
124,122953,111.6598892211914,2358887.0,122953
125,125455,72.17316436767578,2406224.0,125455
126,126054,50.86360168457031,2417629.0,126054
127,127306,14.554485321044922,2443202.0,127306
128,127496,116.14947509765625,2447067.0,127496
129,131259,68.84777069091797,2522106.0,131259
130,131443,402.67779541015625,2525520.0,131443
131,131577,8.776983261108398,2528326.0,131577
132,131727,97.70608520507812,2531614.0,131727
133,133164,14.421910285949707,2558958.0,133164
134,133358,0.0,2562937.0,133358
135,133405,0.0,2564054.0,133405
136,134581,12.366057395935059,2586185.0,134581
137,136176,49.12065505981445,2616021.0,136176
138,136602,78.47010803222656,2623895.0,136602
139,136903,34.94749069213867,2630206.0,136903
140,139827,79.17505645751953,2687862.0,139827
141,140795,42.07544708251953,2707012.0,140795
142,141274,80.06571197509766,2716837.0,141274
143,141473,35.12640380859375,2721324.0,141473
