,_step,charts/episodic_return,global_step,charts/decisions
0,2913.0,20,2913.0,2913.0
1,3955.0,150,3955.0,3955.0
2,7747.0,30,7747.0,7747.0
3,12433.0,0,12433.0,12433.0
4,28088.0,55,28088.0,28088.0
5,33330.0,25,33330.0,33330.0
6,36047.0,30,36047.0,36047.0
7,44407.0,15,44407.0,44407.0
8,66793.0,75,66793.0,66793.0
9,80629.0,30,80629.0,80629.0
10,85445.0,0,85445.0,85445.0
11,103783.0,35,103783.0,103783.0
12,109434.0,10,109434.0,109434.0
13,111225.0,105,111225.0,111225.0
14,113329.0,250,113329.0,113329.0
15,194571.0,105,194571.0,194571.0
16,197414.0,270,197414.0,197414.0
17,197697.0,45,197697.0,197697.0
18,203242.0,45,203242.0,203242.0
19,211192.0,10,211192.0,211192.0
20,222457.0,30,222457.0,222457.0
21,224514.0,90,224514.0,224514.0
22,226814.0,30,226814.0,226814.0
23,231679.0,10,231679.0,231679.0
24,238450.0,0,238450.0,238450.0
25,240335.0,120,240335.0,240335.0
26,240490.0,75,240490.0,240490.0
27,251872.0,65,251872.0,251872.0
28,254111.0,0,254111.0,254111.0
29,275375.0,0,275375.0,275375.0
30,278165.0,30,278165.0,278165.0
31,290402.0,5,290402.0,290402.0
32,290518.0,15,290518.0,290518.0
33,300015.0,30,300015.0,300015.0
34,301738.0,25,301738.0,301738.0
35,307961.0,155,307961.0,307961.0
36,320218.0,60,320218.0,320218.0
37,321847.0,0,321847.0,321847.0
38,327703.0,0,327703.0,327703.0
39,328455.0,45,328455.0,328455.0
40,330839.0,30,330839.0,330839.0
41,333024.0,150,333024.0,333024.0
42,335968.0,5,335968.0,335968.0
43,337455.0,30,337455.0,337455.0
44,355341.0,55,355341.0,355341.0
45,361708.0,115,361708.0,361708.0
46,363826.0,75,363826.0,363826.0
47,375728.0,50,375728.0,375728.0
48,379911.0,30,379911.0,379911.0
49,390643.0,45,390643.0,390643.0
50,394842.0,90,394842.0,394842.0
51,397588.0,175,397588.0,397588.0
52,426234.0,55,426234.0,426234.0
53,427277.0,40,427277.0,427277.0
54,435826.0,20,435826.0,435826.0
55,437380.0,0,437380.0,437380.0
56,437741.0,60,437741.0,437741.0
57,451178.0,50,451178.0,451178.0
58,462497.0,75,462497.0,462497.0
59,470252.0,120,470252.0,470252.0
60,471933.0,0,471933.0,471933.0
61,491077.0,45,491077.0,491077.0
62,504396.0,25,504396.0,504396.0
63,515296.0,20,515296.0,515296.0
64,523451.0,10,523451.0,523451.0
65,530507.0,0,530507.0,530507.0
66,553407.0,130,553407.0,553407.0
67,556266.0,20,556266.0,556266.0
68,566334.0,80,566334.0,566334.0
69,599315.0,65,599315.0,599315.0
70,609299.0,145,609299.0,609299.0
71,611350.0,85,611350.0,611350.0
72,635314.0,170,635314.0,635314.0
73,641048.0,65,641048.0,641048.0
74,658954.0,105,658954.0,658954.0
75,667172.0,205,667172.0,667172.0
76,668001.0,30,668001.0,668001.0
77,682398.0,25,682398.0,682398.0
78,689427.0,20,689427.0,689427.0
79,693335.0,0,693335.0,693335.0
80,693730.0,105,693730.0,693730.0
81,702995.0,75,702995.0,702995.0
82,704187.0,35,704187.0,704187.0
83,718678.0,30,718678.0,718678.0
84,724267.0,65,724267.0,724267.0
85,730434.0,75,730434.0,730434.0
86,738441.0,310,738441.0,738441.0
87,739372.0,0,739372.0,739372.0
88,750516.0,35,750516.0,750516.0
89,765494.0,145,765494.0,765494.0
90,770473.0,70,770473.0,770473.0
91,774091.0,105,774091.0,774091.0
92,776992.0,130,776992.0,776992.0
93,779165.0,0,779165.0,779165.0
94,788678.0,10,788678.0,788678.0
95,789572.0,55,789572.0,789572.0
96,805666.0,110,805666.0,805666.0
97,806329.0,0,806329.0,806329.0
98,839208.0,215,839208.0,839208.0
99,843976.0,205,843976.0,843976.0
100,854465.0,75,854465.0,854465.0
101,855116.0,45,855116.0,855116.0
102,858033.0,50,858033.0,858033.0
103,885397.0,25,885397.0,885397.0
104,887324.0,35,887324.0,887324.0
105,888690.0,15,888690.0,888690.0
106,910612.0,105,910612.0,910612.0
107,940476.0,100,940476.0,940476.0
108,942453.0,20,942453.0,942453.0
109,951060.0,20,951060.0,951060.0
110,955401.0,20,955401.0,955401.0
111,956660.0,35,956660.0,956660.0
112,960413.0,260,960413.0,960413.0
113,963778.0,35,963778.0,963778.0
114,982821.0,5,982821.0,982821.0
115,985090.0,205,985090.0,985090.0
116,997057.0,120,997057.0,997057.0
117,999391.0,5,999391.0,999391.0
118,1005476.0,35,1005476.0,1005476.0
119,1014852.0,0,1014852.0,1014852.0
120,1023865.0,20,1023865.0,1023865.0
121,1052220.0,125,1052220.0,1052220.0
122,1063412.0,155,1063412.0,1063412.0
123,1076700.0,45,1076700.0,1076700.0
124,1079523.0,60,1079523.0,1079523.0
125,1092081.0,200,1092081.0,1092081.0
126,1113213.0,105,1113213.0,1113213.0
127,1114349.0,145,1114349.0,1114349.0
128,1130738.0,0,1130738.0,1130738.0
129,1135270.0,30,1135270.0,1135270.0
130,1156029.0,235,1156029.0,1156029.0
131,1185489.0,50,1185489.0,1185489.0
132,1201027.0,735,1201027.0,1201027.0
133,1219677.0,50,1219677.0,1219677.0
134,1220153.0,90,1220153.0,1220153.0
135,1248210.0,180,1248210.0,1248210.0
136,1249397.0,330,1249397.0,1249397.0
137,1267150.0,305,1267150.0,1267150.0
138,1327224.0,290,1327224.0,1327224.0
139,1384572.0,530,1384572.0,1384572.0
140,1393497.0,590,1393497.0,1393497.0
141,1426635.0,240,1426635.0,1426635.0
142,1470029.0,265,1470029.0,1470029.0
143,1516067.0,690,1516067.0,1516067.0
144,1572095.0,1295,1572095.0,1572095.0
145,1628909.0,300,1628909.0,1628909.0
146,1720056.0,635,1720056.0,1720056.0
147,1765045.0,320,1765045.0,1765045.0
148,1935021.0,220,1935021.0,1935021.0
149,1935957.0,765,1935957.0,1935957.0
150,1972933.0,545,1972933.0,1972933.0
151,1992943.0,600,1992943.0,1992943.0
152,2001508.0,205,2001508.0,2001508.0
153,2034744.0,0,2034744.0,2034744.0
154,2056624.0,480,2056624.0,2056624.0
155,2097270.0,105,2097270.0,2097270.0
156,2226464.0,600,2226464.0,2226464.0
157,2271367.0,570,2271367.0,2271367.0
158,2288718.0,495,2288718.0,2288718.0
159,2323595.0,75,2323595.0,2323595.0
160,2323626.0,30,2323626.0,2323626.0
161,2356075.0,120,2356075.0,2356075.0
