,_step,charts/episodic_return,global_step,charts/decisions
0,3888,4.802979946136475,73492.0,3888
1,6187,28.310848236083984,115626.0,6187
2,6408,67.17916870117188,119955.0,6408
3,6475,284.73419189453125,121193.0,6475
4,7908,74.06356811523438,147332.0,7908
5,13934,57.89864730834961,257739.0,13934
6,16120,0.0,298855.0,16120
7,18581,35.99970245361328,345089.0,18581
8,20562,19.278348922729492,380061.0,20562
9,20903,54.57600021362305,386667.0,20903
10,22038,79.51701354980469,406719.0,22038
11,22608,37.49467849731445,416904.0,22608
12,22735,48.578792572021484,419225.0,22735
13,25521,0.0,470515.0,25521
14,26605,13.980979919433594,490685.0,26605
15,28735,0.0,531099.0,28735
16,29236,268.6878662109375,540449.0,29236
17,29448,30.448699951171875,543842.0,29448
18,29464,67.10493469238281,544178.0,29464
19,29838,76.08820343017578,550607.0,29838
20,31336,0.0,577680.0,31336
21,31929,25.251998901367188,589497.0,31929
22,32321,99.97645568847656,597292.0,32321
23,32936,0.0,608248.0,32936
24,34540,57.046539306640625,636338.0,34540
25,35104,0.0,646923.0,35104
26,35160,4.802979946136475,648028.0,35160
27,35809,32.91196060180664,659230.0,35809
28,36230,43.26188278198242,667437.0,36230
29,37142,0.0,683645.0,37142
30,37540,0.0,690575.0,37540
31,37744,31.905439376831055,694070.0,37744
32,38698,0.0,711601.0,38698
33,40472,135.44876098632812,743419.0,40472
34,40923,91.19091796875,751917.0,40923
35,41959,66.59720611572266,771141.0,41959
36,42663,4.802979946136475,784272.0,42663
37,42707,44.42963409423828,785454.0,42707
38,45330,51.20161437988281,831702.0,45330
39,46086,0.0,844437.0,46086
40,46403,28.17328453063965,850213.0,46403
41,46463,0.0,851170.0,46463
42,47595,60.31692123413086,871436.0,47595
43,47617,105.88420104980469,872050.0,47617
44,48447,252.24298095703125,886126.0,48447
45,51481,0.0,945564.0,51481
46,53925,55.125789642333984,996432.0,53925
47,55442,0.0,1027548.0,55442
48,55795,13.247633934020996,1034096.0,55795
49,56800,0.0,1054848.0,56800
50,59699,53.05821228027344,1112488.0,59699
51,60335,265.7377014160156,1125350.0,60335
52,61185,30.949966430664062,1143134.0,61185
53,61343,30.24032211303711,1146502.0,61343
54,62229,40.852054595947266,1164540.0,62229
55,63352,4.802979946136475,1186553.0,63352
56,63546,18.190414428710938,1190910.0,63546
57,63704,29.700000762939453,1193801.0,63704
58,64437,82.35765838623047,1208278.0,64437
59,65150,26.5915470123291,1222244.0,65150
60,67338,29.027446746826172,1265449.0,67338
61,67985,117.03443145751953,1278394.0,67985
62,68178,46.33782958984375,1281731.0,68178
63,69097,0.0,1300812.0,69097
64,71936,58.72945785522461,1357389.0,71936
65,74102,85.29974365234375,1400553.0,74102
66,74458,37.4459342956543,1407719.0,74458
67,74909,76.5119400024414,1416318.0,74909
68,74993,88.5931625366211,1417938.0,74993
69,75203,10.744706153869629,1421972.0,75203
70,76387,0.0,1446079.0,76387
71,76973,0.0,1457779.0,76973
72,77401,50.91604995727539,1465887.0,77401
73,79492,4.300291538238525,1505282.0,79492
74,81064,4.257288932800293,1535946.0,81064
75,81313,32.03486251831055,1540489.0,81313
76,81979,29.707401275634766,1553622.0,81979
77,83700,12.193431854248047,1587273.0,83700
78,84189,0.0,1596741.0,84189
79,85106,33.477394104003906,1613760.0,85106
80,85123,0.0,1613954.0,85123
81,85268,20.476638793945312,1617154.0,85268
82,85997,74.5972900390625,1631597.0,85997
83,87253,26.252586364746094,1657399.0,87253
