,_step,charts/episodic_return,global_step,charts/decisions
0,771.0,15,771.0,771.0
1,2393.0,15,2393.0,2393.0
2,11702.0,10,11702.0,11702.0
3,23240.0,95,23240.0,23240.0
4,27073.0,120,27073.0,27073.0
5,44126.0,0,44126.0,44126.0
6,45674.0,25,45674.0,45674.0
7,48967.0,55,48967.0,48967.0
8,56205.0,15,56205.0,56205.0
9,58651.0,60,58651.0,58651.0
10,69070.0,0,69070.0,69070.0
11,71865.0,15,71865.0,71865.0
12,81423.0,30,81423.0,81423.0
13,95000.0,0,95000.0,95000.0
14,103275.0,20,103275.0,103275.0
15,113954.0,75,113954.0,113954.0
16,124277.0,70,124277.0,124277.0
17,136031.0,25,136031.0,136031.0
18,137540.0,75,137540.0,137540.0
19,137752.0,170,137752.0,137752.0
20,143422.0,0,143422.0,143422.0
21,144417.0,30,144417.0,144417.0
22,147210.0,110,147210.0,147210.0
23,155298.0,55,155298.0,155298.0
24,162060.0,5,162060.0,162060.0
25,164010.0,15,164010.0,164010.0
26,165410.0,25,165410.0,165410.0
27,172096.0,30,172096.0,172096.0
28,172258.0,5,172258.0,172258.0
29,177628.0,30,177628.0,177628.0
30,186917.0,85,186917.0,186917.0
31,190287.0,265,190287.0,190287.0
32,214035.0,5,214035.0,214035.0
33,223979.0,30,223979.0,223979.0
34,225154.0,60,225154.0,225154.0
35,226582.0,35,226582.0,226582.0
36,233848.0,30,233848.0,233848.0
37,238701.0,75,238701.0,238701.0
38,242603.0,60,242603.0,242603.0
39,250926.0,30,250926.0,250926.0
40,269553.0,45,269553.0,269553.0
41,271379.0,50,271379.0,271379.0
42,274937.0,55,274937.0,274937.0
43,280524.0,0,280524.0,280524.0
44,281994.0,45,281994.0,281994.0
45,289530.0,45,289530.0,289530.0
46,309146.0,45,309146.0,309146.0
47,327193.0,0,327193.0,327193.0
48,332642.0,80,332642.0,332642.0
49,341976.0,0,341976.0,341976.0
50,349980.0,35,349980.0,349980.0
51,353308.0,50,353308.0,353308.0
52,364819.0,55,364819.0,364819.0
53,373549.0,135,373549.0,373549.0
54,375700.0,0,375700.0,375700.0
55,397364.0,0,397364.0,397364.0
56,418237.0,75,418237.0,418237.0
57,431628.0,20,431628.0,431628.0
58,434230.0,20,434230.0,434230.0
59,440102.0,265,440102.0,440102.0
60,456974.0,15,456974.0,456974.0
61,462255.0,55,462255.0,462255.0
62,473670.0,55,473670.0,473670.0
63,486553.0,80,486553.0,486553.0
64,487175.0,0,487175.0,487175.0
65,489071.0,45,489071.0,489071.0
66,493658.0,0,493658.0,493658.0
67,506486.0,15,506486.0,506486.0
68,518535.0,35,518535.0,518535.0
69,521543.0,95,521543.0,521543.0
70,529161.0,0,529161.0,529161.0
