,_step,charts/episodic_return,global_step,charts/decisions
0,700,0.0,37949.0,700
1,2403,36.41433334350586,129063.0,2403
2,3475,0.0,186658.0,3475
3,3572,12.114069938659668,191760.0,3572
4,3987,19.445533752441406,214132.0,3987
5,4267,22.442340850830078,229265.0,4267
6,4332,0.0,232827.0,4332
7,4396,0.0,236360.0,4396
8,4819,77.3175048828125,258821.0,4819
9,4834,0.0,259679.0,4834
10,4958,0.0,266308.0,4958
11,4996,12.536783218383789,268273.0,4996
12,5055,0.0,271218.0,5055
13,5841,74.97140502929688,313567.0,5841
14,6044,0.0,324804.0,6044
15,6696,16.194557189941406,360420.0,6696
16,7275,70.882080078125,391402.0,7275
17,7792,23.177982330322266,419177.0,7792
18,7980,0.0,429305.0,7980
19,8288,0.0,445913.0,8288
20,8668,73.851318359375,466242.0,8668
21,9044,0.0,486617.0,9044
22,9606,0.0,517053.0,9606
23,10340,0.0,556072.0,10340
24,10864,0.0,584043.0,10864
25,11019,0.0,592382.0,11019
26,11521,4.802979946136475,619070.0,11521
27,11648,247.83018493652344,625900.0,11648
28,11887,34.84110641479492,638666.0,11887
29,11912,11.892990112304688,639967.0,11912
30,12022,19.79629898071289,646044.0,12022
31,12505,35.07601547241211,672281.0,12505
32,12568,78.38330078125,675805.0,12568
33,12631,0.0,679204.0,12631
34,12709,25.850128173828125,683456.0,12709
35,12929,60.022796630859375,695027.0,12929
36,13314,0.0,715562.0,13314
37,14228,224.32266235351562,764834.0,14228
38,14490,34.84110641479492,778924.0,14490
39,14773,0.0,794306.0,14773
40,14791,78.38330078125,795190.0,14791
41,15425,53.24154281616211,829267.0,15425
42,16431,0.0,883390.0,16431
43,16747,65.65260314941406,900193.0,16747
44,17369,35.0583381652832,933106.0,17369
45,17469,0.0,938354.0,17469
46,17567,0.0,943589.0,17567
47,17622,34.84110641479492,946559.0,17622
48,17852,0.0,958599.0,17852
49,17907,0.0,961389.0,17907
50,17958,56.99399185180664,964145.0,17958
51,18278,0.0,981431.0,18278
52,18606,12.193431854248047,998666.0,18606
53,19370,91.05292510986328,1039487.0,19370
54,19666,0.0,1055149.0,19666
55,19672,0.0,1055479.0,19672
56,20011,0.0,1073452.0,20011
57,20350,0.0,1091528.0,20350
58,20474,87.20010375976562,1098118.0,20474
59,20564,4.802979946136475,1103059.0,20564
60,20807,0.0,1116259.0,20807
61,20808,12.193431854248047,1116308.0,20808
62,21150,73.851318359375,1134650.0,21150
63,21454,29.80830955505371,1151066.0,21454
64,21509,0.0,1153967.0,21509
65,21569,12.114069938659668,1157333.0,21569
66,21680,73.851318359375,1163331.0,21680
67,21989,0.0,1180284.0,21989
68,24094,34.42566680908203,1292043.0,24094
69,24115,74.97140502929688,1293189.0,24115
70,25121,0.0,1347962.0,25121
71,25892,34.84110641479492,1389385.0,25892
72,26158,12.193431854248047,1403602.0,26158
73,26430,0.0,1418407.0,26430
74,26649,0.0,1430363.0,26649
75,26915,0.0,1444650.0,26915
76,27647,81.84044647216797,1483970.0,27647
77,28118,12.114069938659668,1509141.0,28118
78,28394,12.397570610046387,1523648.0,28394
79,28732,73.851318359375,1541524.0,28732
