,env,seed,mean_episodic_return,mode,action_repeat_n
34,ALE/SpaceInvaders-v5,1,37.51279683828354,0,64
36,ALE/SpaceInvaders-v5,3,32.21705038070679,0,64
37,ALE/SpaceInvaders-v5,4,39.46534017562866,0,64
38,ALE/SpaceInvaders-v5,2,34.45029809951782,0,64
39,ALE/SpaceInvaders-v5,8,44.12250096321106,0,64
40,ALE/SpaceInvaders-v5,9,31.732622294425965,0,64
41,ALE/SpaceInvaders-v5,7,32.33441845655441,0,64
42,ALE/SpaceInvaders-v5,6,44.85289067983627,0,64
43,ALE/SpaceInvaders-v5,13,33.923320837020874,0,64
44,ALE/SpaceInvaders-v5,10,50.96417910575867,0,64
45,ALE/SpaceInvaders-v5,11,36.01141791343689,0,64
46,ALE/SpaceInvaders-v5,12,34.50421847820282,0,64
47,ALE/SpaceInvaders-v5,14,44.60843518733978,0,64
