,charts/episodic_return,global_step
4,111.72664642333984,55399.0
7,14.567585945129395,122909.0
12,20.29974937438965,201144.0
18,20.647790908813477,369654.0
32,81.04975891113281,646442.0
98,0.0,2145277.0
248,99.61743927001953,4915995.0
344,0.0,6832401.0
438,0.0,8810209.0
441,0.0,8850381.0
498,172.04165649414062,9972740.0
