,charts/episodic_return,global_step
4,0.0,83706.0
6,0.0,125172.0
12,69.7955093383789,295189.0
28,54.78742218017578,651680.0
156,235.57298278808594,3171532.0
325,332.9305725097656,6309514.0
363,190.1225128173828,6981368.0
416,0.0,8092166.0
