,charts/episodic_return,global_step
18,27.405517578125,355096.0
25,100.90923309326172,572473.0
27,195.531982421875,598470.0
34,20.0,937119.0
53,252.0094451904297,1187038.0
81,250.71054077148438,1803708.0
207,233.63482666015625,4176951.0
275,606.4212646484375,5879996.0
292,0.0,6150896.0
297,128.6604766845703,6204756.0
