,env_id,seed,mean_episodic_return
130,ALE/Breakout-v5,14,12.662705744037622
131,ALE/Breakout-v5,23,10.458151980021405
132,ALE/Breakout-v5,4,14.617297097087828
133,ALE/Breakout-v5,10,14.486886474334957
134,ALE/Breakout-v5,12,15.126233908019833
135,ALE/Breakout-v5,13,14.753835425383542
136,ALE/Breakout-v5,9,13.554113185530921
137,ALE/Breakout-v5,11,14.463765434953523
138,ALE/Breakout-v5,7,14.842891760904685
139,ALE/Breakout-v5,6,14.551912568306012
140,ALE/Breakout-v5,5,15.09290609540235
141,ALE/Breakout-v5,8,15.235759348998812
142,ALE/Breakout-v5,3,15.441699018040648
143,ALE/Breakout-v5,2,13.65904404873477
144,ALE/Pong-v5,11,-20.952234689400115
145,ALE/Pong-v5,1,-20.953049735941036
146,ALE/Pong-v5,2,-20.956915074069887
147,ALE/Breakout-v5,50,1.5684007977752183
148,ALE/Breakout-v5,9,1.5673828516454884
149,SeaquestNoFrameskip-v4,42,65.88235294117646
