,Game,Mean Episodic Return,Num Runs
0,ALE/Seaquest-v5,131.82453779627323 (2.9421294253396924),48
1,ALE/Pong-v5,-20.318480952648756 (0.2412017782069807),50
2,ALE/Breakout-v5,11.084107144223099 (0.97866764597112),51
3,SeaquestNoFrameskip-v4,65.88235294117646 (0.0),1
