Unnamed: 0,_step,charts/episodic_return,global_step,charts/decisions
24,145111.0,51.2,145111.0,145111.0
25,153176.0,50.6,153176.0,153176.0
26,155011.0,54.8,155011.0,155011.0
27,162888.0,54.6,162888.0,162888.0
28,164054.0,54.6,164054.0,164054.0
29,169050.0,51.6,169050.0,169050.0
30,173607.0,51.2,173607.0,173607.0
31,187464.0,47.6,187464.0,187464.0
32,197337.0,46.6,197337.0,197337.0
33,200021.0,47.6,200021.0,200021.0
34,218247.0,48.2,218247.0,218247.0
35,224884.0,47.2,224884.0,224884.0
36,237100.0,44.2,237100.0,237100.0
37,251405.0,43.6,251405.0,251405.0
38,276355.0,37.8,276355.0,276355.0
39,297037.0,35.0,297037.0,297037.0
40,300660.0,37.4,300660.0,300660.0
41,320781.0,40.2,320781.0,320781.0
42,336341.0,42.0,336341.0,336341.0
43,337162.0,49.4,337162.0,337162.0
44,339044.0,49.2,339044.0,339044.0
45,368999.0,50.4,368999.0,368999.0
46,373579.0,49.6,373579.0,373579.0
47,384177.0,47.0,384177.0,384177.0
48,387110.0,49.4,387110.0,387110.0
49,387772.0,47.4,387772.0,387772.0
50,392481.0,42.8,392481.0,392481.0
51,398674.0,40.6,398674.0,398674.0
52,407128.0,40.2,407128.0,407128.0
53,413559.0,40.2,413559.0,413559.0
54,414047.0,40.4,414047.0,414047.0
55,419851.0,59.2,419851.0,419851.0
56,420436.0,59.8,420436.0,420436.0
57,425783.0,58.4,425783.0,425783.0
58,429462.0,62.0,429462.0,429462.0
59,430360.0,62.0,430360.0,430360.0
60,439595.0,64.0,439595.0,439595.0
61,445279.0,66.4,445279.0,445279.0
62,470965.0,74.6,470965.0,470965.0
63,490632.0,75.0,490632.0,490632.0
64,494114.0,80.4,494114.0,494114.0
65,494621.0,78.4,494621.0,494621.0
66,518549.0,75.0,518549.0,518549.0
67,523902.0,73.0,523902.0,523902.0
68,539959.0,67.4,539959.0,539959.0
69,540556.0,67.2,540556.0,540556.0
70,541032.0,66.2,541032.0,541032.0
71,546282.0,68.6,546282.0,546282.0
72,546929.0,69.2,546929.0,546929.0
73,547181.0,68.6,547181.0,547181.0
74,554850.0,68.8,554850.0,554850.0
75,571324.0,69.6,571324.0,571324.0
76,577698.0,68.4,577698.0,577698.0
77,592348.0,68.6,592348.0,592348.0
78,594493.0,68.8,594493.0,594493.0
79,601080.0,67.8,601080.0,601080.0
80,602597.0,50.2,602597.0,602597.0
81,604909.0,56.8,604909.0,604909.0
82,617638.0,57.2,617638.0,617638.0
83,618535.0,56.6,618535.0,618535.0
84,629421.0,60.8,629421.0,629421.0
85,632852.0,63.4,632852.0,632852.0
86,652140.0,59.8,652140.0,652140.0
87,652255.0,51.8,652255.0,652255.0
88,652706.0,54.4,652706.0,652706.0
89,658934.0,49.4,658934.0,658934.0
90,671975.0,50.2,671975.0,671975.0
91,677185.0,49.4,677185.0,677185.0
92,679517.0,52.4,679517.0,679517.0
93,683414.0,54.4,683414.0,683414.0
94,693703.0,54.4,693703.0,693703.0
95,707846.0,54.2,707846.0,707846.0
96,716476.0,51.8,716476.0,716476.0
97,739603.0,54.2,739603.0,739603.0
98,751634.0,51.6,751634.0,751634.0
99,751814.0,51.0,751814.0,751814.0
100,768826.0,51.4,768826.0,768826.0
101,771938.0,51.4,771938.0,771938.0
102,781708.0,57.2,781708.0,781708.0
103,786190.0,60.2,786190.0,786190.0
104,790808.0,59.8,790808.0,790808.0
105,793490.0,57.8,793490.0,793490.0
106,794706.0,51.2,794706.0,794706.0
107,806209.0,53.6,806209.0,806209.0
108,816619.0,49.6,816619.0,816619.0
109,833592.0,46.4,833592.0,833592.0
110,852693.0,42.8,852693.0,852693.0
111,853620.0,43.4,853620.0,853620.0
112,874016.0,45.0,874016.0,874016.0
113,884443.0,42.0,884443.0,884443.0
114,893245.0,42.6,893245.0,893245.0
115,895592.0,41.4,895592.0,895592.0
116,902405.0,43.6,902405.0,902405.0
117,902907.0,51.2,902907.0,902907.0
118,910152.0,49.0,910152.0,910152.0
119,938872.0,48.0,938872.0,938872.0
120,989993.0,51.2,989993.0,989993.0
121,998226.0,56.2,998226.0,998226.0
