Unnamed: 0,_step,charts/episodic_return,global_step,charts/decisions
24,34540,57.240784740448,636338.0,34540
25,35104,57.04866554260254,646923.0,35104
26,35160,56.10835081100464,648028.0,35160
27,35809,54.73766248703003,659230.0,35809
28,36230,45.07877012252808,667437.0,36230
29,37142,42.1162273979187,683645.0,37142
30,37540,39.800281505584714,690575.0,37540
31,37744,41.07649908065796,694070.0,37744
32,38698,39.63651098251343,711601.0,38698
33,40472,44.283327465057376,743419.0,40472
34,40923,45.747924175262455,751917.0,40923
35,41959,45.23113187789917,771141.0,41959
36,42663,43.92346393585205,784272.0,42663
37,42707,43.75749759674072,785454.0,42707
38,45330,45.80556217193603,831702.0,45330
39,46086,45.24632297515869,844437.0,46086
40,46403,46.37325435638428,850213.0,46403
41,46463,35.62573970794678,851170.0,46463
42,47595,36.82046855926514,871436.0,47595
43,47617,38.37163921356201,872050.0,47617
44,48447,45.417830314636234,886126.0,48447
45,51481,45.417830314636234,945564.0,51481
46,53925,46.6127819442749,996432.0,53925
47,55442,42.61372371673584,1027548.0,55442
48,55795,43.14362907409668,1034096.0,55795
49,56800,40.86176750183105,1054848.0,56800
50,59699,42.98409599304199,1112488.0,59699
51,60335,53.42148485183716,1125350.0,60335
52,61185,53.343005084991454,1143134.0,61185
53,61343,52.822142658233645,1146502.0,61343
54,62229,54.456224842071535,1164540.0,62229
55,63352,54.64834403991699,1186553.0,63352
56,63546,54.099743041992184,1190910.0,63546
57,63704,55.28774307250976,1193801.0,63704
58,64437,53.16409896850586,1208278.0,64437
59,65150,50.580124130249025,1222244.0,65150
60,67338,49.077333755493164,1265449.0,67338
61,67985,53.566591815948485,1278394.0,67985
62,68178,53.64291963577271,1281731.0,68178
63,69097,51.594855060577395,1300812.0,69097
64,71936,53.94403337478638,1357389.0,71936
65,74102,56.22909173965454,1400553.0,74102
66,74458,57.726929111480715,1407719.0,74458
67,74909,58.37472986221314,1416318.0,74909
68,74993,57.683088321685794,1417938.0,74993
69,75203,48.023157329559325,1421972.0,75203
70,76387,48.023157329559325,1446079.0,76387
71,76973,45.81812574386597,1457779.0,76973
72,77401,47.85476774215698,1465887.0,77401
73,79492,47.496874046325686,1505282.0,79492
74,81064,47.6671656036377,1535946.0,81064
75,81313,46.82623161315918,1540489.0,81313
76,81979,37.385019607543946,1553622.0,81979
77,83700,36.63475822448731,1587273.0,83700
78,84189,35.42514533996582,1596741.0,84189
79,85106,35.13015892028809,1613760.0,85106
80,85123,34.938039722442625,1613954.0,85123
81,85268,35.029488697052,1617154.0,85268
82,85997,36.82538026809692,1631597.0,85997
83,87253,34.581177387237545,1657399.0,87253
84,87374,35.38296091079712,1660012.0,87374
85,87805,37.20842248916626,1667838.0,87805
86,88920,35.23394800186157,1690453.0,88920
87,88973,33.38043481826782,1691239.0,88973
88,90374,33.580434818267825,1718672.0,90374
89,91284,33.85245523452759,1736592.0,91284
90,91577,33.781880893707275,1742713.0,91577
91,93390,35.48750513076782,1778665.0,93390
92,93685,45.45636590957642,1783691.0,93685
93,94049,43.46967859268189,1791064.0,94049
94,94423,43.41339456558227,1798266.0,94423
95,95271,45.41122369766235,1815684.0,95271
96,97154,45.41122369766235,1852302.0,97154
97,97275,47.911846714019774,1854491.0,97275
98,97896,49.54165542602539,1866221.0,97896
99,98886,52.34926334381103,1885741.0,98886
100,102411,54.4114351272583,1953999.0,102411
101,103358,53.421139068603516,1971573.0,103358
102,104214,54.224909973144534,1988876.0,104214
103,104250,54.61694995880127,1989451.0,104250
104,104353,54.734427528381346,1991506.0,104353
105,106603,54.734427528381346,2036563.0,106603
106,108896,60.13115299224854,2080302.0,108896
107,109065,65.59064884185791,2083377.0,109065
108,109124,65.01671394348145,2084362.0,109124
109,112139,63.15126853942871,2143921.0,112139
110,115757,61.134987869262694,2211894.0,115757
111,115993,59.53699127197265,2216773.0,115993
112,117034,59.53699127197265,2237964.0,117034
113,117232,59.33699127197266,2241741.0,117232
114,117940,56.71579254150391,2255747.0,117940
115,119187,53.37437713623047,2279973.0,119187
116,120457,50.74174167633057,2305497.0,120457
117,121086,37.906463088989256,2318258.0,121086
118,121193,40.75541694641113,2320488.0,121193
119,124032,43.952763862609864,2377609.0,124032
120,125663,41.954934730529786,2407004.0,125663
121,125972,41.954934730529786,2413525.0,125972
122,128347,37.81366970062256,2457777.0,128347
123,130426,40.13979824066162,2498407.0,130426
124,132661,41.57653591156006,2541803.0,132661
125,133722,40.48615413665772,2563071.0,133722
126,135379,40.28815414428711,2595431.0,135379
127,135479,39.62163181304932,2597081.0,135479
128,136011,39.91763847351074,2606717.0,136011
129,136712,38.46106513977051,2618794.0,136712
130,137884,40.440886611938474,2640133.0,137884
131,138369,35.009175567626954,2649586.0,138369
132,139400,27.98731475830078,2668937.0,139400
133,140012,27.998883476257323,2680706.0,140012
134,140634,28.688204307556152,2691700.0,140634
135,141593,33.37834850311279,2710215.0,141593
136,141750,35.659736213684084,2713485.0,141750
137,141869,39.43557117462158,2716041.0,141869
138,142016,42.785979194641115,2719125.0,142016
139,143255,43.9307311630249,2742537.0,143255
140,143358,49.40833126068115,2744975.0,143358
141,145597,56.87404014587403,2788332.0,145597
142,145681,56.970031070709226,2790230.0,145681
143,146339,53.280308628082274,2803754.0,146339
144,146509,53.09448221206665,2807212.0,146509
145,147529,57.192780857086184,2827332.0,147529
146,148519,59.600035648345944,2846776.0,148519
147,149466,59.204035663604735,2865419.0,149466
148,150536,58.65525667190552,2886885.0,150536
149,150743,55.53684190750122,2890302.0,150743
150,151654,54.794634113311766,2906338.0,151654
151,153301,54.794634113311766,2937828.0,153301
152,155179,54.75668504714966,2973847.0,155179
153,156349,57.30352212905884,2995423.0,156349
154,156902,57.488071060180665,3005765.0,156902
155,157258,56.67187339782715,3013033.0,157258
156,157761,58.133126220703126,3023042.0,157761
157,159202,58.105243835449215,3051208.0,159202
158,159321,59.19193817138672,3053676.0,159321
159,159506,59.26426887512207,3057425.0,159506
160,161582,55.08348136901856,3097584.0,161582
161,161663,51.69318748474121,3098691.0,161663
162,162609,59.90586082458496,3117825.0,162609
163,163496,57.53283615112305,3135602.0,163496
164,163733,60.93695014953613,3140227.0,163733
165,167067,57.76140129089355,3207754.0,167067
166,168318,51.190332870483395,3232150.0,168318
167,168531,55.24215501785278,3236113.0,168531
168,168708,57.71315065383911,3239307.0,168708
169,168901,56.86352891921997,3243502.0,168901
170,169467,52.76523027420044,3254566.0,169467
171,170838,51.46526910781861,3282736.0,170838
172,171436,51.64254608154297,3294344.0,171436
173,172571,52.51062377929688,3316523.0,172571
174,172686,52.66626937866211,3318615.0,172686
175,172692,51.724390525817874,3318665.0,172692
176,173497,53.118034782409666,3333149.0,173497
177,173770,58.31104011535645,3337656.0,173770
178,173984,55.87778694152832,3342042.0,173984
179,174050,59.68476602554321,3343489.0,174050
180,175934,58.52114221572876,3380977.0,175934
181,176238,56.675809421539306,3386645.0,176238
182,176404,62.581117191314696,3389750.0,176404
183,176935,63.041584720611574,3400450.0,176935
184,180130,64.3994999885559,3464278.0,180130
185,182278,62.91986452102661,3505654.0,182278
186,183724,62.91986452102661,3532699.0,183724
187,183920,51.881003055572506,3537095.0,183920
188,185452,52.955233325958254,3564735.0,185452
189,187726,52.753813648223876,3607413.0,187726
190,188689,51.845406665802,3626368.0,188689
191,190258,50.379940052032474,3655350.0,190258
192,191837,46.561158199310306,3685140.0,191837
193,192606,45.366262111663815,3700932.0,192606
194,192835,46.4107660484314,3704837.0,192835
195,193825,53.89220037460327,3724249.0,193825
196,194656,53.95757528305054,3741247.0,194656
197,194956,53.978298301696775,3747109.0,194956
198,196131,52.64009029388428,3769482.0,196131
199,197391,51.188222312927245,3793939.0,197391
200,198452,51.19023208618164,3815499.0,198452
201,198765,54.92380096435547,3821248.0,198765
202,201082,50.551480255126954,3865290.0,201082
203,202760,51.21371780395508,3898182.0,202760
204,203357,48.68082733154297,3909780.0,203357
205,203436,50.29795928955078,3911392.0,203436
206,203960,51.20393096923828,3922021.0,203960
207,204155,47.59644348144531,3925999.0,204155
208,205090,45.56154434204102,3945807.0,205090
209,206787,45.134473419189455,3979906.0,206787
210,207119,47.82590896606445,3985797.0,207119
211,208216,47.82590896606445,4008409.0,208216
212,208962,47.06267520904541,4022922.0,208962
213,210235,47.76696674346924,4048209.0,210235
214,210346,45.789440650939945,4050538.0,210346
215,210682,44.708591060638426,4057710.0,210682
216,213048,48.841553401947024,4102970.0,213048
217,214692,51.663761157989505,4134326.0,214692
218,215334,55.02309694290161,4146703.0,215334
219,216836,53.37648057937622,4175104.0,216836
220,216888,45.89504625320435,4176160.0,216888
221,217423,46.19828821182251,4186762.0,217423
222,217649,57.1189942741394,4191684.0,217649
223,217718,54.204014453887936,4192949.0,217718
224,217740,54.3961336517334,4193196.0,217740
225,217889,54.39703769683838,4196076.0,217889
226,217980,50.01564670562744,4197664.0,217980
227,221008,50.19650882720947,4256011.0,221008
228,222371,50.76593235015869,4281366.0,222371
229,222840,56.09131275177002,4289757.0,222840
230,223601,54.47418079376221,4304906.0,223601
231,223740,53.168209114074706,4307353.0,223740
232,227142,61.437644233703615,4374108.0,227142
233,227885,63.256186714172365,4388838.0,227885
234,228439,62.142758483886716,4398424.0,228439
235,229593,60.99659469604492,4421382.0,229593
236,229832,62.08545585632324,4425905.0,229832
237,230624,64.88805492401123,4440333.0,230624
238,230671,64.03224742889404,4441134.0,230671
239,231412,62.66854290008545,4454352.0,231412
240,231598,64.21258829116822,4457997.0,231598
241,233935,60.07962594985962,4502690.0,233935
242,235343,59.340127353668215,4528890.0,235343
243,236531,54.82088228225708,4551221.0,236531
244,236885,54.35028367996216,4558076.0,236885
245,237767,54.950283679962155,4573912.0,237767
246,239793,53.4743731880188,4612872.0,239793
247,241683,51.36200136184692,4648247.0,241683
248,242892,51.16794157028198,4669785.0,242892
249,243148,52.56946662902832,4674274.0,243148
250,243522,52.55544250488281,4682161.0,243522
251,245733,60.38301574707031,4724280.0,245733
252,246667,64.72467330932618,4740886.0,246667
253,248281,64.05689453125,4770783.0,248281
254,248590,61.63700164794922,4776587.0,248590
255,249016,61.81606929779053,4784706.0,249016
256,249648,62.01606929779053,4796743.0,249648
257,250213,51.97734935760498,4807349.0,250213
258,250673,51.55245113372803,4816936.0,250673
259,251228,63.20226654052735,4827033.0,251228
260,252434,63.344469146728514,4848898.0,252434
261,253739,62.255607986450194,4872804.0,253739
262,255086,62.602302932739256,4897637.0,255086
263,257452,63.90120765686035,4940931.0,257452
264,257694,64.5331095123291,4945310.0,257694
265,260141,62.676269454956056,4991476.0,260141
266,260644,63.036322593688965,5000260.0,260644
267,260887,61.35059886932373,5005173.0,260887
268,262612,62.97165454864502,5037840.0,262612
269,262759,66.70786823272705,5040239.0,262759
270,263261,68.70850666046142,5049248.0,263261
271,264619,71.80679065704345,5073088.0,264619
272,264681,62.80045642852783,5074663.0,264681
273,265097,65.66529560089111,5082193.0,265097
274,265135,65.19539630889892,5082828.0,265135
275,268634,67.19712966918945,5145151.0,268634
276,268705,59.29808883666992,5146198.0,268705
277,271339,53.75988773345947,5193183.0,271339
278,273559,56.42185901641846,5233501.0,273559
279,276534,54.98669635772705,5291855.0,276534
280,277832,58.02203086853027,5315690.0,277832
281,278378,57.82203086853028,5325697.0,278378
282,278897,57.742074508666995,5334727.0,278897
283,279082,59.72649055480957,5338779.0,279082
284,279205,48.297607498168944,5341213.0,279205
285,282131,48.00377738952637,5397127.0,282131
286,282216,50.01221626281738,5398673.0,282216
287,282282,47.09034690856934,5399890.0,282282
288,282473,43.89134452819824,5403395.0,282473
289,283014,44.10770866394043,5413424.0,283014
290,283880,45.21768775939941,5429224.0,283880
291,284799,44.8576346206665,5446899.0,284799
292,285322,47.539548530578614,5457251.0,285322
293,287644,48.512173347473144,5501617.0,287644
294,288642,52.84831226348877,5521059.0,288642
295,289341,50.407999954223634,5534786.0,289341
296,291446,51.85244270324707,5572824.0,291446
297,292182,51.85244270324707,5585826.0,292182
298,292496,48.98760353088379,5591562.0,292496
299,293512,51.228600692749026,5608362.0,293512
300,293847,49.19305229187012,5614432.0,293847
301,294382,50.91504463195801,5624344.0,294382
302,294396,51.28475749969483,5624578.0,294396
303,294450,47.74501064300537,5625578.0,294450
304,297373,45.37445938110351,5679883.0,297373
305,297859,46.13297744750977,5689149.0,297859
306,298680,48.05519393920898,5703905.0,298680
307,299476,48.23488342285156,5718559.0,299476
308,299600,46.72749267578125,5720984.0,299600
309,300344,45.92749267578125,5734268.0,300344
310,301446,44.95169635772705,5755752.0,301446
311,303908,43.537257499694825,5798870.0,303908
312,305836,46.86785884857178,5832702.0,305836
313,306294,48.30784694671631,5840711.0,306294
314,309181,46.45336528778076,5893923.0,309181
315,310382,46.73703044891357,5915235.0,310382
316,312687,48.13067470550537,5955128.0,312687
317,312830,46.112526512146,5957722.0,312830
318,313302,42.68638515472412,5966338.0,313302
319,315816,34.24756130218506,6009891.0,315816
320,316354,42.350120315551756,6019515.0,316354
321,317629,37.80739356994629,6040604.0,317629
322,319873,43.116589126586916,6080085.0,319873
323,321409,47.45931678771973,6104654.0,321409
324,322138,51.63667060852051,6117742.0,322138
325,323425,51.112498092651364,6139387.0,323425
326,323497,50.0128734588623,6140610.0,323497
327,323551,49.25112060546875,6141316.0,323551
328,324827,48.763383331298826,6161119.0,324827
329,324933,49.58853160858154,6163180.0,324933
330,325658,48.33580181121826,6175068.0,325658
331,325694,46.41358531951904,6175624.0,325694
332,327087,44.39167247772217,6198545.0,327087
333,327987,44.22686092376709,6213407.0,327987
334,329793,44.42288091659546,6243031.0,329793
335,331191,46.44630479812622,6267388.0,331191
336,334438,45.852304782867435,6321406.0,334438
337,334444,42.10786569595337,6321546.0,334444
338,334779,40.66787759780884,6327076.0,334779
339,335352,43.724947910308835,6336174.0,335352
340,335611,43.995171756744384,6340161.0,335611
341,336872,45.15276178359986,6362050.0,336872
342,337371,51.992444400787356,6370745.0,337371
343,337530,55.146557865142825,6372966.0,337530
344,339671,54.24833715438843,6408849.0,339671
345,345021,48.043717250823974,6500331.0,345021
346,348003,48.41490411758423,6550176.0,348003
347,348620,50.3388823890686,6559996.0,348620
348,348931,45.99615472793579,6565641.0,348931
349,349596,39.719191074371345,6576692.0,349596
350,349921,42.88619333267212,6582568.0,349921
351,351040,43.91942758560181,6602288.0,351040
352,352907,44.80581247329712,6634195.0,352907
353,353292,45.94557886123657,6640759.0,353292
354,358268,47.97948648452759,6721603.0,358268
355,358421,47.113087253570555,6724389.0,358421
356,358947,48.66194650650024,6733556.0,358947
357,359271,49.80069849014282,6738844.0,359271
358,359453,48.09484048843384,6742078.0,359453
359,363801,49.31540374755859,6817543.0,363801
360,364057,46.87413192749023,6821876.0,364057
361,366734,49.71313949584961,6867259.0,366734
362,366978,50.87423736572266,6871054.0,366978
363,367983,53.0074397277832,6889076.0,367983
364,369227,49.950369415283205,6910172.0,369227
365,370775,49.49352210998535,6937133.0,370775
366,370816,48.63695213317871,6937795.0,370816
367,371101,40.21342735290527,6942926.0,371101
368,372914,39.393398666381835,6976015.0,372914
369,374564,45.45774974822998,7005859.0,374564
370,375711,46.16846218109131,7025346.0,375711
371,376267,47.01266014099121,7034751.0,376267
372,377044,43.41444236755371,7047831.0,377044
373,377498,45.34231575012207,7055740.0,377498
374,379896,44.64628131866455,7097686.0,379896
375,380269,42.03886043548584,7104735.0,380269
376,381320,41.25070705413818,7124075.0,381320
377,382493,41.66180889129639,7144874.0,382493
378,384038,40.522042503356936,7172920.0,384038
379,384626,38.422561454772946,7183674.0,384626
380,385540,38.17522045135498,7200162.0,385540
381,388673,39.58829814910889,7255277.0,388673
382,392780,43.51905330657959,7326882.0,392780
383,395127,47.25408992767334,7367223.0,395127
384,395283,47.579152793884276,7370433.0,395283
385,395362,49.432237815856936,7372224.0,395362
386,396131,47.23119304656982,7386604.0,396131
387,397552,47.11259014129639,7410981.0,397552
388,400402,46.04673770904541,7462966.0,400402
389,401492,47.16959148406983,7481365.0,401492
390,401597,45.962570686340335,7483026.0,401597
391,402311,45.2067769241333,7495306.0,402311
392,402361,47.37135440826416,7496486.0,402361
393,403047,47.29631259918213,7508524.0,403047
394,404511,43.205730781555175,7532639.0,404511
395,405123,46.09476093292236,7544373.0,405123
396,405572,49.09428546905517,7552164.0,405572
397,407408,45.45932941436767,7582405.0,407408
398,408509,44.09685260772705,7601763.0,408509
399,408632,46.95103019714355,7603860.0,408632
400,412362,48.819004669189454,7666121.0,412362
401,412622,50.42002502441406,7671390.0,412622
402,414028,50.460773620605465,7695256.0,414028
403,414220,61.63648895263672,7698431.0,414220
404,416440,62.901363372802734,7738063.0,416440
405,418300,64.4108869934082,7771776.0,418300
406,420816,65.32862106323242,7815500.0,420816
407,421540,61.219709930419924,7828106.0,421540
408,423809,57.48467330932617,7865342.0,423809
409,425765,58.01433456420899,7897179.0,425765
410,426357,57.34532951354981,7907234.0,426357
411,429566,57.267109336853025,7960503.0,429566
412,430168,56.75386196136475,7970665.0,430168
413,430540,55.686512031555175,7976265.0,430540
414,431114,57.50778270721435,7986209.0,431114
415,432977,60.92433940887451,8015474.0,432977
416,436533,63.930521965026855,8073860.0,436533
417,437944,64.54256465911865,8097568.0,437944
418,439991,67.22488918304444,8131579.0,439991
419,441714,65.25311992645264,8159789.0,441714
420,442164,60.08168922424316,8167258.0,442164
421,443928,57.071593856811525,8195035.0,443928
422,444524,57.071593856811525,8204861.0,444524
423,446692,56.70619728088379,8238674.0,446692
424,447776,53.28292182922363,8255040.0,447776
425,447849,50.855365982055666,8256424.0,447849
426,449207,51.15746803283692,8278569.0,449207
427,450303,54.26637077331543,8295635.0,450303
428,450585,58.6147191619873,8300782.0,450585
429,453027,56.93828674316406,8339343.0,453027
430,453573,57.051390380859374,8348281.0,453573
431,453596,56.334227294921874,8348651.0,453596
432,453763,55.37363128662109,8351453.0,453763
433,454103,56.76727554321289,8356465.0,454103
434,458164,56.14980682373047,8420535.0,458164
435,458509,57.369684066772464,8426558.0,458509
436,460950,61.27908176422119,8466498.0,460950
437,461972,64.68570972442627,8482564.0,461972
438,462640,65.82712833404541,8494348.0,462640
439,465172,68.50567722320557,8534841.0,465172
440,465598,73.47999393463135,8540987.0,465598
441,467559,75.27980533599853,8573528.0,467559
442,470346,72.69338315963745,8616643.0,470346
443,470651,68.31563947677613,8622251.0,470651
444,472202,70.34399518966674,8646977.0,472202
445,472671,69.85741807937622,8653022.0,472671
446,473667,73.53924684524536,8666803.0,473667
447,474693,74.83889665603638,8681598.0,474693
448,476235,82.26050188064575,8703481.0,476235
449,476902,82.26050188064575,8713081.0,476902
450,477130,103.80662004470825,8716258.0,477130
451,478104,106.51849687576293,8730386.0,478104
452,478656,102.0713588142395,8737873.0,478656
453,479360,94.7464467048645,8748163.0,479360
454,480846,100.5500217628479,8770388.0,480846
455,481957,97.8715182685852,8786801.0,481957
456,484117,96.01191896438598,8819400.0,484117
457,484702,99.99011476516723,8828061.0,484702
458,486782,102.02299058914184,8859785.0,486782
459,489117,104.26504640579223,8896243.0,489117
460,489729,112.53620149612426,8905801.0,489729
461,490650,109.01126726150513,8919374.0,490650
462,491786,106.54085832595825,8936051.0,491786
463,492524,108.98302370071411,8947368.0,492524
464,492616,103.93676599502564,8948756.0,492616
465,492681,98.95549768447876,8949936.0,492681
466,493359,93.76477834701538,8962477.0,493359
467,493443,115.65685085296631,8963793.0,493443
468,509384,125.85357860565186,9209127.0,509384
469,511645,136.5914619064331,9242914.0,511645
470,515042,138.55442302703858,9295496.0,515042
471,515884,136.2462662887573,9307618.0,515884
472,516120,134.9466164779663,9311116.0,516120
473,516157,128.84232387542724,9311739.0,516157
474,519651,129.63593814849852,9365501.0,519651
475,520133,113.76574649810792,9372311.0,520133
476,521390,110.78696689605712,9392475.0,521390
477,521579,111.34729301452637,9395419.0,521579
478,522908,103.14814140319824,9415604.0,522908
479,524272,97.57932640075684,9434396.0,524272
480,524528,99.97414520263672,9437631.0,524528
481,524557,101.6135336303711,9438219.0,524557
482,526516,99.08761367797851,9466305.0,526516
483,529841,95.6610935974121,9515780.0,529841
484,531136,91.76519912719726,9534271.0,531136
485,537259,81.09008682250976,9621917.0,537259
486,539026,81.5966926574707,9645967.0,539026
487,541067,80.13122604370118,9675028.0,541067
488,544560,78.01151016235352,9725509.0,544560
489,545621,78.55044052124023,9741705.0,545621
490,545848,75.14083541870117,9744427.0,545848
