Unnamed: 0,_step,charts/episodic_return,global_step,charts/decisions
24,206352.0,66.2,206352.0,206352.0
25,206583.0,67.4,206583.0,206583.0
26,215138.0,67.6,215138.0,215138.0
27,223109.0,65.2,223109.0,223109.0
28,234365.0,64.0,234365.0,234365.0
29,238779.0,64.0,238779.0,238779.0
30,239630.0,61.4,239630.0,239630.0
31,241619.0,65.2,241619.0,241619.0
32,257233.0,65.0,257233.0,257233.0
33,267662.0,66.2,267662.0,267662.0
34,281073.0,65.2,281073.0,281073.0
35,292993.0,65.2,292993.0,292993.0
36,294934.0,64.6,294934.0,294934.0
37,299762.0,54.2,299762.0,299762.0
38,307744.0,55.6,307744.0,307744.0
39,311707.0,56.2,311707.0,311707.0
40,326159.0,58.6,326159.0,326159.0
41,330243.0,56.2,330243.0,330243.0
42,340708.0,55.0,340708.0,340708.0
43,342385.0,53.2,342385.0,342385.0
44,343403.0,53.0,343403.0,343403.0
45,348858.0,54.6,348858.0,348858.0
46,358251.0,55.0,358251.0,358251.0
47,369395.0,52.6,369395.0,369395.0
48,405848.0,53.2,405848.0,405848.0
49,410924.0,45.2,410924.0,410924.0
50,412987.0,41.2,412987.0,412987.0
51,413968.0,40.4,413968.0,413968.0
52,416200.0,41.0,416200.0,416200.0
53,416515.0,40.4,416515.0,416515.0
54,418563.0,40.6,418563.0,418563.0
55,422388.0,40.8,422388.0,422388.0
56,429998.0,35.4,429998.0,429998.0
57,443870.0,36.4,443870.0,443870.0
58,444183.0,36.6,444183.0,444183.0
59,455933.0,38.0,455933.0,455933.0
60,457389.0,40.6,457389.0,457389.0
61,461359.0,40.2,461359.0,461359.0
62,477876.0,39.8,477876.0,477876.0
63,484430.0,41.2,484430.0,484430.0
64,485150.0,41.8,485150.0,485150.0
65,494763.0,41.4,494763.0,494763.0
66,495600.0,43.4,495600.0,495600.0
67,505331.0,47.0,505331.0,505331.0
68,507619.0,40.2,507619.0,507619.0
69,507869.0,38.4,507869.0,507869.0
70,509063.0,39.4,509063.0,509063.0
71,523653.0,39.0,523653.0,523653.0
72,523988.0,44.0,523988.0,523988.0
73,526807.0,43.4,526807.0,526807.0
74,529053.0,43.4,529053.0,529053.0
75,552641.0,47.4,552641.0,552641.0
76,554949.0,50.6,554949.0,554949.0
77,564743.0,68.4,564743.0,564743.0
78,571430.0,72.6,571430.0,571430.0
79,592255.0,83.8,592255.0,592255.0
80,593330.0,82.8,593330.0,593330.0
81,595261.0,83.4,595261.0,595261.0
82,595719.0,84.8,595719.0,595719.0
83,600305.0,89.2,600305.0,600305.0
84,600862.0,90.6,600862.0,600862.0
85,611164.0,89.2,611164.0,611164.0
86,613488.0,89.8,613488.0,613488.0
87,630445.0,88.8,630445.0,630445.0
88,658081.0,84.8,658081.0,658081.0
89,677791.0,84.2,677791.0,677791.0
90,690534.0,82.2,690534.0,690534.0
91,690826.0,81.8,690826.0,690826.0
92,693215.0,79.8,693215.0,693215.0
93,693290.0,77.0,693290.0,693290.0
94,693845.0,77.2,693845.0,693845.0
95,705330.0,74.8,705330.0,705330.0
96,714193.0,76.0,714193.0,714193.0
97,744095.0,71.6,744095.0,744095.0
98,755822.0,72.6,755822.0,755822.0
99,756136.0,72.2,756136.0,756136.0
100,769078.0,69.0,769078.0,769078.0
101,769872.0,65.8,769872.0,769872.0
102,771975.0,51.8,771975.0,771975.0
103,773969.0,49.0,773969.0,773969.0
104,794111.0,39.4,794111.0,794111.0
105,799732.0,44.6,799732.0,799732.0
106,834583.0,43.2,834583.0,834583.0
107,837703.0,41.2,837703.0,837703.0
108,840004.0,38.8,840004.0,840004.0
109,846467.0,44.0,846467.0,846467.0
110,847239.0,44.4,847239.0,847239.0
111,853968.0,43.4,853968.0,853968.0
112,856930.0,44.6,856930.0,856930.0
113,867991.0,45.6,867991.0,867991.0
114,881719.0,48.4,881719.0,881719.0
115,893141.0,47.8,893141.0,893141.0
116,900201.0,45.8,900201.0,900201.0
117,906443.0,47.2,906443.0,906443.0
118,916895.0,47.6,916895.0,916895.0
119,946958.0,49.0,946958.0,946958.0
120,951632.0,48.4,951632.0,951632.0
121,956895.0,48.6,956895.0,956895.0
122,977551.0,48.2,977551.0,977551.0
123,994364.0,50.2,994364.0,994364.0
124,999475.0,49.4,999475.0,999475.0
125,999558.0,49.0,999558.0,999558.0
126,1000026.0,50.8,1000026.0,1000026.0
127,1009021.0,50.8,1009021.0,1009021.0
128,1022728.0,52.2,1022728.0,1022728.0
129,1040013.0,50.8,1040013.0,1040013.0
130,1064886.0,48.4,1064886.0,1064886.0
131,1066907.0,47.8,1066907.0,1066907.0
132,1079647.0,51.0,1079647.0,1079647.0
133,1103678.0,51.8,1103678.0,1103678.0
134,1103949.0,43.2,1103949.0,1103949.0
135,1123350.0,42.4,1123350.0,1123350.0
136,1124649.0,58.6,1124649.0,1124649.0
137,1131151.0,68.2,1131151.0,1131151.0
138,1139650.0,78.0,1139650.0,1139650.0
139,1146590.0,87.2,1146590.0,1146590.0
140,1153642.0,108.4,1153642.0,1153642.0
141,1160798.0,112.6,1160798.0,1160798.0
142,1171038.0,135.0,1171038.0,1171038.0
143,1194925.0,138.6,1194925.0,1194925.0
144,1238824.0,142.2,1238824.0,1238824.0
145,1246651.0,142.2,1246651.0,1246651.0
146,1259178.0,147.2,1259178.0,1259178.0
147,1261470.0,150.8,1261470.0,1261470.0
148,1622766.0,165.0,1622766.0,1622766.0
149,1651684.0,189.0,1651684.0,1651684.0
150,1663053.0,209.2,1663053.0,1663053.0
151,1693465.0,230.2,1693465.0,1693465.0
152,1747129.0,247.6,1747129.0,1747129.0
153,1752130.0,268.8,1752130.0,1752130.0
154,1784317.0,277.6,1784317.0,1784317.0
155,1826742.0,301.4,1826742.0,1826742.0
156,1844198.0,334.4,1844198.0,1844198.0
157,1850131.0,357.6,1850131.0,1850131.0
158,1850942.0,376.4,1850942.0,1850942.0
159,1957977.0,377.4,1957977.0,1957977.0
160,1967353.0,404.2,1967353.0,1967353.0
161,2019105.0,390.0,2019105.0,2019105.0
162,2062587.0,379.2,2062587.0,2062587.0
163,2111423.0,375.8,2111423.0,2111423.0
164,2119600.0,371.4,2119600.0,2119600.0
165,2124022.0,371.0,2124022.0,2124022.0
166,2164897.0,402.4,2164897.0,2164897.0
167,2165278.0,381.6,2165278.0,2165278.0
168,2196748.0,389.4,2196748.0,2196748.0
