Unnamed: 0,_step,charts/episodic_return,global_step,charts/decisions
24,118625.0,54.8,118625.0,118625.0
25,119222.0,53.4,119222.0,119222.0
26,119281.0,48.8,119281.0,119281.0
27,120537.0,54.0,120537.0,120537.0
28,121029.0,55.2,121029.0,121029.0
29,140715.0,57.0,140715.0,140715.0
30,144249.0,52.6,144249.0,144249.0
31,145215.0,52.0,145215.0,145215.0
32,146160.0,51.6,146160.0,146160.0
33,148064.0,47.6,148064.0,148064.0
34,149110.0,46.4,149110.0,149110.0
35,157603.0,45.2,157603.0,157603.0
36,201911.0,43.8,201911.0,201911.0
37,203794.0,43.2,203794.0,203794.0
38,207853.0,43.8,207853.0,207853.0
39,211616.0,46.2,211616.0,211616.0
40,212408.0,38.2,212408.0,212408.0
41,214454.0,38.8,214454.0,214454.0
42,222976.0,40.2,222976.0,222976.0
43,225374.0,39.6,225374.0,225374.0
44,226575.0,39.6,226575.0,226575.0
45,229015.0,43.4,229015.0,229015.0
46,231285.0,42.2,231285.0,231285.0
47,246865.0,37.2,246865.0,246865.0
48,259934.0,39.0,259934.0,259934.0
49,260175.0,40.6,260175.0,260175.0
50,262161.0,39.0,262161.0,262161.0
51,265084.0,38.4,265084.0,265084.0
52,267361.0,46.4,267361.0,267361.0
53,273675.0,46.2,273675.0,273675.0
54,290328.0,44.8,290328.0,290328.0
55,296387.0,48.4,296387.0,296387.0
56,303062.0,52.4,303062.0,303062.0
57,312792.0,54.0,312792.0,312792.0
58,314069.0,54.6,314069.0,314069.0
59,321200.0,56.4,321200.0,321200.0
60,326284.0,59.6,326284.0,326284.0
61,331121.0,62.2,331121.0,331121.0
62,333663.0,62.8,333663.0,333663.0
63,341231.0,62.0,341231.0,341231.0
64,341802.0,62.4,341802.0,341802.0
65,353264.0,62.6,353264.0,353264.0
66,363307.0,62.0,363307.0,363307.0
67,365038.0,67.6,365038.0,365038.0
68,366380.0,67.8,366380.0,366380.0
69,376608.0,67.4,376608.0,376608.0
70,387908.0,62.6,387908.0,387908.0
71,398413.0,66.0,398413.0,398413.0
72,418605.0,67.2,418605.0,418605.0
73,420198.0,67.8,420198.0,420198.0
74,420731.0,64.6,420731.0,420731.0
75,424912.0,65.6,424912.0,424912.0
76,431017.0,67.4,431017.0,431017.0
77,432718.0,57.0,432718.0,432718.0
78,443278.0,56.6,443278.0,443278.0
79,447848.0,54.2,447848.0,447848.0
80,456801.0,50.8,456801.0,456801.0
81,461577.0,47.0,461577.0,461577.0
82,465335.0,46.8,465335.0,465335.0
83,470598.0,46.0,470598.0,470598.0
84,511480.0,45.4,511480.0,511480.0
85,517810.0,41.6,517810.0,517810.0
86,522936.0,40.8,522936.0,522936.0
87,529204.0,41.4,529204.0,529204.0
88,530150.0,45.6,530150.0,530150.0
89,532366.0,43.0,532366.0,532366.0
90,548616.0,42.2,548616.0,548616.0
91,556650.0,46.4,556650.0,556650.0
92,562926.0,40.0,562926.0,562926.0
93,566742.0,42.8,566742.0,566742.0
94,577259.0,43.0,577259.0,577259.0
95,592424.0,48.4,592424.0,592424.0
96,594537.0,46.2,594537.0,594537.0
97,595029.0,47.0,595029.0,595029.0
98,603718.0,47.2,603718.0,603718.0
99,615349.0,48.2,615349.0,615349.0
100,631273.0,49.0,631273.0,631273.0
101,633765.0,47.8,633765.0,633765.0
102,639538.0,47.6,639538.0,639538.0
103,642364.0,46.4,642364.0,642364.0
104,647778.0,64.6,647778.0,647778.0
105,658317.0,66.2,658317.0,658317.0
106,670389.0,66.8,670389.0,670389.0
107,688135.0,64.6,688135.0,688135.0
108,692659.0,64.0,692659.0,692659.0
109,698580.0,63.4,698580.0,698580.0
110,701752.0,62.8,701752.0,701752.0
111,712930.0,62.6,712930.0,712930.0
112,725187.0,63.2,725187.0,725187.0
113,736539.0,67.6,736539.0,736539.0
114,742897.0,67.8,742897.0,742897.0
115,764929.0,67.8,764929.0,764929.0
116,773744.0,67.2,773744.0,773744.0
117,784892.0,73.8,784892.0,784892.0
118,786483.0,73.2,786483.0,786483.0
119,789874.0,74.4,789874.0,789874.0
120,801821.0,73.2,801821.0,801821.0
121,805806.0,73.4,805806.0,805806.0
122,809903.0,78.0,809903.0,809903.0
123,814834.0,79.6,814834.0,814834.0
124,840521.0,81.2,840521.0,840521.0
125,844959.0,79.6,844959.0,844959.0
126,847116.0,78.6,847116.0,847116.0
127,849022.0,78.0,849022.0,849022.0
128,869521.0,80.2,869521.0,869521.0
129,882265.0,65.8,882265.0,882265.0
130,918818.0,74.6,918818.0,918818.0
131,932645.0,78.4,932645.0,932645.0
132,942079.0,91.6,942079.0,942079.0
133,981246.0,93.2,981246.0,981246.0
134,993444.0,95.0,993444.0,993444.0
135,1026406.0,96.0,1026406.0,1026406.0
136,1027410.0,95.2,1027410.0,1027410.0
137,1033048.0,102.6,1033048.0,1033048.0
138,1040268.0,94.0,1040268.0,1040268.0
139,1049695.0,97.0,1049695.0,1049695.0
140,1119488.0,96.6,1119488.0,1119488.0
141,1129851.0,100.2,1129851.0,1129851.0
142,1184570.0,95.8,1184570.0,1184570.0
143,1194778.0,104.2,1194778.0,1194778.0
144,1222184.0,126.0,1222184.0,1222184.0
145,1234526.0,159.6,1234526.0,1234526.0
146,1277152.0,169.6,1277152.0,1277152.0
147,1283513.0,185.6,1283513.0,1283513.0
148,1285338.0,211.8,1285338.0,1285338.0
149,1348897.0,218.6,1348897.0,1348897.0
150,1451045.0,224.4,1451045.0,1451045.0
151,1465519.0,245.8,1465519.0,1465519.0
152,1469572.0,266.6,1469572.0,1469572.0
153,1493166.0,282.8,1493166.0,1493166.0
154,1498481.0,290.2,1498481.0,1498481.0
155,1503390.0,294.8,1503390.0,1503390.0
156,1568914.0,331.0,1568914.0,1568914.0
157,1592545.0,337.4,1592545.0,1592545.0
158,1674622.0,361.2,1674622.0,1674622.0
159,1737280.0,375.6,1737280.0,1737280.0
160,1776438.0,391.8,1776438.0,1776438.0
161,1813997.0,409.8,1813997.0,1813997.0
162,1828650.0,418.2,1828650.0,1828650.0
163,1878991.0,436.4,1878991.0,1878991.0
164,1887977.0,464.2,1887977.0,1887977.0
165,1894049.0,478.4,1894049.0,1894049.0
166,1918506.0,472.6,1918506.0,1918506.0
167,1949772.0,492.8,1949772.0,1949772.0
168,1962136.0,483.8,1962136.0,1962136.0
169,2017425.0,466.8,2017425.0,2017425.0
170,2056655.0,449.6,2056655.0,2056655.0
171,2065200.0,459.2,2065200.0,2065200.0
172,2188957.0,460.0,2188957.0,2188957.0
173,2191827.0,443.8,2191827.0,2191827.0
174,2218756.0,447.6,2218756.0,2218756.0
175,2224724.0,466.8,2224724.0,2224724.0
176,2241917.0,447.0,2241917.0,2241917.0
177,2255471.0,436.6,2255471.0,2255471.0
178,2267494.0,438.0,2267494.0,2267494.0
179,2285543.0,429.2,2285543.0,2285543.0
180,2289806.0,413.6,2289806.0,2289806.0
181,2348531.0,375.2,2348531.0,2348531.0
182,2365510.0,362.0,2365510.0,2365510.0
183,2375251.0,340.0,2375251.0,2375251.0
184,2385549.0,336.0,2385549.0,2385549.0
185,2408120.0,320.0,2408120.0,2408120.0
186,2444737.0,313.4,2444737.0,2444737.0
187,2496357.0,301.6,2496357.0,2496357.0
188,2497082.0,303.2,2497082.0,2497082.0
189,2504366.0,277.6,2504366.0,2504366.0
190,2512172.0,263.6,2512172.0,2512172.0
191,2546883.0,276.4,2546883.0,2546883.0
192,2556028.0,258.8,2556028.0,2556028.0
193,2560746.0,266.8,2560746.0,2560746.0
194,2603976.0,294.8,2603976.0,2603976.0
195,2650119.0,273.2,2650119.0,2650119.0
196,2666941.0,254.6,2666941.0,2666941.0
197,2674447.0,247.0,2674447.0,2674447.0
198,2675227.0,254.2,2675227.0,2675227.0
199,2691741.0,249.6,2691741.0,2691741.0
