,env,seed,mean_episodic_return,mode,action_repeat_n
4,ALE/SpaceInvaders-v5,15,347.5,0,1
5,ALE/SpaceInvaders-v5,1,,0,1
9,ALE/SpaceInvaders-v5,4,60.0,0,1
11,ALE/SpaceInvaders-v5,11,0.0,0,1
12,ALE/SpaceInvaders-v5,13,410.0,0,1
15,ALE/SpaceInvaders-v5,7,0.0,0,1
17,ALE/SpaceInvaders-v5,10,,0,1
18,ALE/SpaceInvaders-v5,3,55.0,0,1
19,ALE/SpaceInvaders-v5,6,421.6666666666667,0,1
20,ALE/SpaceInvaders-v5,5,702.5,0,1
21,ALE/SpaceInvaders-v5,2,,0,1
